Station Name,RoadSurfaceTemperature,AirTemperature
AlbroPlaceAirportWay,92.7,81.1
AlbroPlaceAirportWay,92.7,81
AlbroPlaceAirportWay,92.7,80.9
AlbroPlaceAirportWay,92.7,80.8
AlbroPlaceAirportWay,92.7,80.7
RooseveltWay_NE80thSt,83.3,83.3
RooseveltWay_NE80thSt,83.2,83.2
RooseveltWay_NE80thSt,83.2,83.2
RooseveltWay_NE80thSt,83.2,83.2
RooseveltWay_NE80thSt,83.2,83.2
RooseveltWay_NE80thSt,83.1,83.1
RooseveltWay_NE80thSt,83.1,83.1
RooseveltWay_NE80thSt,83.1,83.1
RooseveltWay_NE80thSt,83,83
RooseveltWay_NE80thSt,83,83
RooseveltWay_NE80thSt,83,83
RooseveltWay_NE80thSt,83,83
RooseveltWay_NE80thSt,82.9,82.9
RooseveltWay_NE80thSt,82.9,82.9
RooseveltWay_NE80thSt,82.9,82.9
HarborAveUpperNorthBridge,90.3,79.48
HarborAveUpperNorthBridge,90.3,79.43
HarborAveUpperNorthBridge,90.2,79.36
HarborAveUpperNorthBridge,90.2,79.29
HarborAveUpperNorthBridge,90.1,79.23
HarborAveUpperNorthBridge,90.1,79.18
HarborAveUpperNorthBridge,90,79.1
HarborAveUpperNorthBridge,90,79.03
HarborAveUpperNorthBridge,89.9,78.96
HarborAveUpperNorthBridge,89.9,78.87
HarborAveUpperNorthBridge,89.8,78.83
HarborAveUpperNorthBridge,89.8,78.8
HarborAveUpperNorthBridge,89.7,78.81
HarborAveUpperNorthBridge,89.7,78.83
HarborAveUpperNorthBridge,89.6,78.8
MagnoliaBridge,86.9,75.53
MagnoliaBridge,86.8,75.29
MagnoliaBridge,86.8,75.09
MagnoliaBridge,86.7,74.96
MagnoliaBridge,86.7,74.82
MagnoliaBridge,86.6,74.67
MagnoliaBridge,86.5,74.63
MagnoliaBridge,86.5,74.72
MagnoliaBridge,86.4,74.8
MagnoliaBridge,86.4,74.91
MagnoliaBridge,86.4,75.05
MagnoliaBridge,86.3,75.24
MagnoliaBridge,86.3,75.34
MagnoliaBridge,86.2,75.46
MagnoliaBridge,86.2,75.54
SpokaneSwingBridge,90.2,79.36
SpokaneSwingBridge,90.2,79.29
SpokaneSwingBridge,90.1,79.23
SpokaneSwingBridge,90.1,79.18
SpokaneSwingBridge,90,79.1
SpokaneSwingBridge,90,79.03
SpokaneSwingBridge,89.9,78.96
SpokaneSwingBridge,89.9,78.87
SpokaneSwingBridge,89.8,78.83
SpokaneSwingBridge,89.8,78.8
SpokaneSwingBridge,89.7,78.81
SpokaneSwingBridge,89.7,78.83
SpokaneSwingBridge,89.6,78.8
SpokaneSwingBridge,89.6,78.71
SpokaneSwingBridge,89.5,78.64
AlbroPlaceAirportWay,92.7,81.1
AlbroPlaceAirportWay,92.7,81
